defect_id,machine_id,timestamp,defect_count,batch_id,wafer_lot,defect_type,severity,yield_loss_pct,process_step
D-0000001,M-0001,2025-01-01T00:00:00,1,B-000-M-0001,WL-5942,alignment,low,0.654,deposition
D-0000002,M-0001,2025-01-04T00:00:00,1,B-003-M-0001,WL-7895,film_uniformity,low,0.754,deposition
D-0000003,M-0001,2025-01-07T00:00:00,3,B-006-M-0001,WL-5634,film_uniformity,medium,0.858,deposition
D-0000004,M-0001,2025-01-10T00:00:00,2,B-009-M-0001,WL-9379,particle,low,1.007,deposition
D-0000005,M-0001,2025-01-13T00:00:00,1,B-012-M-0001,WL-3905,scratch,low,0.255,deposition
D-0000006,M-0001,2025-01-16T00:00:00,0,B-015-M-0001,WL-4093,film_uniformity,low,0.0,deposition
D-0000007,M-0001,2025-01-19T00:00:00,2,B-018-M-0001,WL-9605,film_uniformity,low,1.349,deposition
D-0000008,M-0001,2025-01-22T00:00:00,4,B-021-M-0001,WL-2434,particle,medium,1.674,deposition
D-0000009,M-0001,2025-01-25T00:00:00,0,B-024-M-0001,WL-7973,etch_depth,low,0.0,deposition
D-0000010,M-0001,2025-01-28T00:00:00,0,B-027-M-0001,WL-3197,etch_depth,low,0.0,deposition
D-0000011,M-0001,2025-01-31T00:00:00,2,B-030-M-0001,WL-3856,etch_depth,low,1.129,deposition
D-0000012,M-0001,2025-02-03T00:00:00,1,B-033-M-0001,WL-3529,particle,low,0.315,deposition
D-0000013,M-0001,2025-02-06T00:00:00,1,B-036-M-0001,WL-5361,film_uniformity,low,0.65,deposition
D-0000014,M-0001,2025-02-09T00:00:00,1,B-039-M-0001,WL-9365,etch_depth,low,0.864,deposition
D-0000015,M-0001,2025-02-12T00:00:00,2,B-042-M-0001,WL-9900,scratch,low,0.971,deposition
D-0000016,M-0001,2025-02-15T00:00:00,1,B-045-M-0001,WL-3759,particle,low,0.734,deposition
D-0000017,M-0001,2025-02-18T00:00:00,1,B-048-M-0001,WL-4135,scratch,low,0.652,deposition
D-0000018,M-0001,2025-02-21T00:00:00,1,B-051-M-0001,WL-2198,etch_depth,low,0.689,deposition
D-0000019,M-0001,2025-02-24T00:00:00,1,B-054-M-0001,WL-6399,particle,low,0.652,deposition
D-0000020,M-0001,2025-02-27T00:00:00,2,B-057-M-0001,WL-4442,etch_depth,low,1.312,deposition
D-0000021,M-0001,2025-03-02T00:00:00,1,B-060-M-0001,WL-6319,film_uniformity,low,0.435,deposition
D-0000022,M-0001,2025-03-05T00:00:00,0,B-063-M-0001,WL-9549,scratch,low,0.0,deposition
D-0000023,M-0001,2025-03-08T00:00:00,1,B-066-M-0001,WL-2574,etch_depth,low,0.539,deposition
D-0000024,M-0001,2025-03-11T00:00:00,1,B-069-M-0001,WL-5014,film_uniformity,low,0.69,deposition
D-0000025,M-0001,2025-03-14T00:00:00,1,B-072-M-0001,WL-5018,particle,low,0.491,deposition
D-0000026,M-0001,2025-03-17T00:00:00,2,B-075-M-0001,WL-2025,etch_depth,low,1.26,deposition
D-0000027,M-0001,2025-03-20T00:00:00,0,B-078-M-0001,WL-2094,film_uniformity,low,0.0,deposition
D-0000028,M-0001,2025-03-23T00:00:00,1,B-081-M-0001,WL-1966,particle,low,0.541,deposition
D-0000029,M-0001,2025-03-26T00:00:00,2,B-084-M-0001,WL-6025,particle,low,0.792,deposition
D-0000030,M-0001,2025-03-29T00:00:00,2,B-087-M-0001,WL-8165,alignment,low,0.745,deposition
D-0000031,M-0001,2025-04-01T00:00:00,1,B-090-M-0001,WL-1926,film_uniformity,low,0.669,deposition
D-0000032,M-0001,2025-04-04T00:00:00,2,B-093-M-0001,WL-3681,alignment,low,1.041,deposition
D-0000033,M-0001,2025-04-07T00:00:00,0,B-096-M-0001,WL-9800,particle,low,0.0,deposition
D-0000034,M-0001,2025-04-10T00:00:00,0,B-099-M-0001,WL-8495,particle,low,0.0,deposition
D-0000035,M-0001,2025-04-13T00:00:00,2,B-102-M-0001,WL-5901,alignment,low,0.521,deposition
D-0000036,M-0001,2025-04-16T00:00:00,1,B-105-M-0001,WL-7892,scratch,low,0.717,deposition
D-0000037,M-0001,2025-04-19T00:00:00,0,B-108-M-0001,WL-8531,particle,low,0.0,deposition
D-0000038,M-0001,2025-04-22T00:00:00,1,B-111-M-0001,WL-9935,film_uniformity,low,0.762,deposition
D-0000039,M-0001,2025-04-25T00:00:00,0,B-114-M-0001,WL-4677,etch_depth,low,0.0,deposition
D-0000040,M-0001,2025-04-28T00:00:00,0,B-117-M-0001,WL-5971,etch_depth,low,0.0,deposition
D-0000041,M-0002,2025-01-01T00:00:00,1,B-000-M-0002,WL-9501,scratch,low,0.389,planarization
D-0000042,M-0002,2025-01-04T00:00:00,0,B-003-M-0002,WL-2642,film_uniformity,low,0.0,planarization
D-0000043,M-0002,2025-01-07T00:00:00,0,B-006-M-0002,WL-6152,alignment,low,0.0,planarization
D-0000044,M-0002,2025-01-10T00:00:00,1,B-009-M-0002,WL-2902,alignment,low,0.617,planarization
D-0000045,M-0002,2025-01-13T00:00:00,2,B-012-M-0002,WL-8228,particle,low,1.135,planarization
D-0000046,M-0002,2025-01-16T00:00:00,1,B-015-M-0002,WL-5192,film_uniformity,low,0.68,planarization
D-0000047,M-0002,2025-01-19T00:00:00,2,B-018-M-0002,WL-4583,alignment,low,1.457,planarization
D-0000048,M-0002,2025-01-22T00:00:00,4,B-021-M-0002,WL-8416,particle,medium,1.987,planarization
D-0000049,M-0002,2025-01-25T00:00:00,0,B-024-M-0002,WL-2831,particle,low,0.0,planarization
D-0000050,M-0002,2025-01-28T00:00:00,0,B-027-M-0002,WL-7008,film_uniformity,low,0.0,planarization
D-0000051,M-0002,2025-01-31T00:00:00,2,B-030-M-0002,WL-3419,etch_depth,low,0.791,planarization
D-0000052,M-0002,2025-02-03T00:00:00,1,B-033-M-0002,WL-3825,alignment,low,0.43,planarization
D-0000053,M-0002,2025-02-06T00:00:00,0,B-036-M-0002,WL-2891,alignment,low,0.0,planarization
D-0000054,M-0002,2025-02-09T00:00:00,2,B-039-M-0002,WL-4641,particle,low,1.027,planarization
D-0000055,M-0002,2025-02-12T00:00:00,2,B-042-M-0002,WL-8047,etch_depth,low,0.504,planarization
D-0000056,M-0002,2025-02-15T00:00:00,3,B-045-M-0002,WL-7119,film_uniformity,medium,1.214,planarization
D-0000057,M-0002,2025-02-18T00:00:00,3,B-048-M-0002,WL-3928,alignment,medium,1.89,planarization
D-0000058,M-0002,2025-02-21T00:00:00,7,B-051-M-0002,WL-7365,alignment,high,3.257,planarization
D-0000059,M-0002,2025-02-24T00:00:00,9,B-054-M-0002,WL-8638,etch_depth,high,4.588,planarization
D-0000060,M-0002,2025-02-27T00:00:00,7,B-057-M-0002,WL-4246,scratch,high,2.82,planarization
D-0000061,M-0002,2025-03-02T00:00:00,10,B-060-M-0002,WL-9491,etch_depth,high,2.795,planarization
D-0000062,M-0002,2025-03-05T00:00:00,2,B-063-M-0002,WL-9443,alignment,low,0.844,planarization
D-0000063,M-0002,2025-03-08T00:00:00,5,B-066-M-0002,WL-5548,alignment,medium,2.161,planarization
D-0000064,M-0002,2025-03-11T00:00:00,2,B-069-M-0002,WL-9800,scratch,low,1.724,planarization
D-0000065,M-0002,2025-03-14T00:00:00,2,B-072-M-0002,WL-5620,film_uniformity,low,1.628,planarization
D-0000066,M-0002,2025-03-17T00:00:00,1,B-075-M-0002,WL-2257,particle,low,0.381,planarization
D-0000067,M-0002,2025-03-20T00:00:00,3,B-078-M-0002,WL-5440,alignment,medium,2.664,planarization
D-0000068,M-0002,2025-03-23T00:00:00,3,B-081-M-0002,WL-7751,etch_depth,medium,2.228,planarization
D-0000069,M-0002,2025-03-26T00:00:00,2,B-084-M-0002,WL-8997,scratch,low,1.68,planarization
D-0000070,M-0002,2025-03-29T00:00:00,3,B-087-M-0002,WL-6652,etch_depth,medium,1.755,planarization
D-0000071,M-0002,2025-04-01T00:00:00,1,B-090-M-0002,WL-1269,etch_depth,low,0.517,planarization
D-0000072,M-0002,2025-04-04T00:00:00,3,B-093-M-0002,WL-5613,etch_depth,medium,1.959,planarization
D-0000073,M-0002,2025-04-07T00:00:00,0,B-096-M-0002,WL-4495,scratch,low,0.0,planarization
D-0000074,M-0002,2025-04-10T00:00:00,2,B-099-M-0002,WL-1864,film_uniformity,low,1.351,planarization
D-0000075,M-0002,2025-04-13T00:00:00,4,B-102-M-0002,WL-7569,film_uniformity,medium,2.751,planarization
D-0000076,M-0002,2025-04-16T00:00:00,4,B-105-M-0002,WL-3604,etch_depth,medium,2.9,planarization
D-0000077,M-0002,2025-04-19T00:00:00,0,B-108-M-0002,WL-9706,film_uniformity,low,0.0,planarization
D-0000078,M-0002,2025-04-22T00:00:00,2,B-111-M-0002,WL-1069,alignment,low,1.725,planarization
D-0000079,M-0002,2025-04-25T00:00:00,2,B-114-M-0002,WL-1009,particle,low,1.387,planarization
D-0000080,M-0002,2025-04-28T00:00:00,2,B-117-M-0002,WL-2289,particle,low,0.955,planarization
D-0000081,M-0003,2025-01-01T00:00:00,0,B-000-M-0003,WL-5005,film_uniformity,low,0.0,lithography
D-0000082,M-0003,2025-01-04T00:00:00,2,B-003-M-0003,WL-6650,alignment,low,1.657,lithography
D-0000083,M-0003,2025-01-07T00:00:00,1,B-006-M-0003,WL-2448,etch_depth,low,0.299,lithography
D-0000084,M-0003,2025-01-10T00:00:00,1,B-009-M-0003,WL-8133,scratch,low,0.372,lithography
D-0000085,M-0003,2025-01-13T00:00:00,0,B-012-M-0003,WL-3206,particle,low,0.0,lithography
D-0000086,M-0003,2025-01-16T00:00:00,0,B-015-M-0003,WL-8291,film_uniformity,low,0.0,lithography
D-0000087,M-0003,2025-01-19T00:00:00,1,B-018-M-0003,WL-5961,etch_depth,low,0.574,lithography
D-0000088,M-0003,2025-01-22T00:00:00,3,B-021-M-0003,WL-4416,particle,medium,1.666,lithography
D-0000089,M-0003,2025-01-25T00:00:00,1,B-024-M-0003,WL-6122,scratch,low,0.283,lithography
D-0000090,M-0003,2025-01-28T00:00:00,4,B-027-M-0003,WL-9280,scratch,medium,2.359,lithography
D-0000091,M-0003,2025-01-31T00:00:00,3,B-030-M-0003,WL-8189,scratch,medium,1.421,lithography
D-0000092,M-0003,2025-02-03T00:00:00,0,B-033-M-0003,WL-8167,scratch,low,0.0,lithography
D-0000093,M-0003,2025-02-06T00:00:00,1,B-036-M-0003,WL-3986,film_uniformity,low,0.583,lithography
D-0000094,M-0003,2025-02-09T00:00:00,1,B-039-M-0003,WL-6833,particle,low,0.752,lithography
D-0000095,M-0003,2025-02-12T00:00:00,3,B-042-M-0003,WL-7778,scratch,medium,1.594,lithography
D-0000096,M-0003,2025-02-15T00:00:00,4,B-045-M-0003,WL-4332,alignment,medium,1.034,lithography
D-0000097,M-0003,2025-02-18T00:00:00,3,B-048-M-0003,WL-4328,particle,medium,2.187,lithography
D-0000098,M-0003,2025-02-21T00:00:00,1,B-051-M-0003,WL-2422,scratch,low,0.367,lithography
D-0000099,M-0003,2025-02-24T00:00:00,4,B-054-M-0003,WL-1742,film_uniformity,medium,1.465,lithography
D-0000100,M-0003,2025-02-27T00:00:00,0,B-057-M-0003,WL-6502,particle,low,0.0,lithography
D-0000101,M-0003,2025-03-02T00:00:00,0,B-060-M-0003,WL-4005,film_uniformity,low,0.0,lithography
D-0000102,M-0003,2025-03-05T00:00:00,1,B-063-M-0003,WL-7899,scratch,low,0.731,lithography
D-0000103,M-0003,2025-03-08T00:00:00,1,B-066-M-0003,WL-1947,scratch,low,0.596,lithography
D-0000104,M-0003,2025-03-11T00:00:00,0,B-069-M-0003,WL-6453,particle,low,0.0,lithography
D-0000105,M-0003,2025-03-14T00:00:00,1,B-072-M-0003,WL-5468,alignment,low,0.863,lithography
D-0000106,M-0003,2025-03-17T00:00:00,0,B-075-M-0003,WL-8030,alignment,low,0.0,lithography
D-0000107,M-0003,2025-03-20T00:00:00,3,B-078-M-0003,WL-7143,scratch,medium,0.808,lithography
D-0000108,M-0003,2025-03-23T00:00:00,2,B-081-M-0003,WL-3439,particle,low,0.764,lithography
D-0000109,M-0003,2025-03-26T00:00:00,5,B-084-M-0003,WL-9199,etch_depth,medium,3.946,lithography
D-0000110,M-0003,2025-03-29T00:00:00,2,B-087-M-0003,WL-9550,alignment,low,1.573,lithography
D-0000111,M-0003,2025-04-01T00:00:00,2,B-090-M-0003,WL-2076,film_uniformity,low,1.619,lithography
D-0000112,M-0003,2025-04-04T00:00:00,4,B-093-M-0003,WL-8147,alignment,medium,2.237,lithography
D-0000113,M-0003,2025-04-07T00:00:00,9,B-096-M-0003,WL-6051,film_uniformity,high,7.28,lithography
D-0000114,M-0003,2025-04-10T00:00:00,9,B-099-M-0003,WL-1418,alignment,high,6.444,lithography
D-0000115,M-0003,2025-04-13T00:00:00,3,B-102-M-0003,WL-7832,scratch,medium,1.557,lithography
D-0000116,M-0003,2025-04-16T00:00:00,3,B-105-M-0003,WL-1661,particle,medium,2.427,lithography
