reading_id,machine_id,timestamp,temperature,vibration,pressure,power_draw,humidity,cycle_count,runtime_hours,chamber_pressure,gas_flow_rate,error_code
R-0000001,M-0001,2025-01-01T00:00:00,73.219,0.4073,100.706,18.643,43.81,0,23.46,10.229,126.982,
R-0000002,M-0001,2025-01-02T00:00:00,72.217,0.4125,102.097,19.021,46.71,106,18.29,10.413,89.04,
R-0000003,M-0001,2025-01-03T00:00:00,70.1,0.3642,103.168,17.557,38.92,240,15.32,10.598,118.369,
R-0000004,M-0001,2025-01-04T00:00:00,71.192,0.3953,101.419,19.271,38.74,384,14.54,10.441,112.315,
R-0000005,M-0001,2025-01-05T00:00:00,72.198,0.416,103.214,18.902,45.28,292,14.47,10.68,124.71,
R-0000006,M-0001,2025-01-06T00:00:00,73.988,0.3379,102.436,19.135,40.6,620,15.91,9.87,99.156,
R-0000007,M-0001,2025-01-07T00:00:00,70.472,0.3999,102.348,16.809,39.16,498,20.74,10.431,114.673,
R-0000008,M-0001,2025-01-08T00:00:00,67.501,0.4542,101.821,18.192,40.44,665,19.22,9.703,95.768,
R-0000009,M-0001,2025-01-09T00:00:00,71.206,0.3629,100.679,19.015,35.53,688,20.21,10.583,113.859,
R-0000010,M-0001,2025-01-10T00:00:00,73.668,0.3395,103.261,18.59,37.99,1044,12.93,9.955,101.134,
R-0000011,M-0001,2025-01-11T00:00:00,69.211,0.3571,102.991,22.634,45.43,1030,22.84,10.829,93.675,
R-0000012,M-0001,2025-01-12T00:00:00,70.869,0.3971,99.054,20.484,44.8,1155,22.15,10.268,115.205,
R-0000013,M-0001,2025-01-13T00:00:00,69.458,0.3472,96.666,16.945,41.02,1416,19.27,9.951,101.126,
R-0000014,M-0001,2025-01-14T00:00:00,68.751,0.4338,100.717,22.895,42.35,988,17.7,10.605,89.988,
R-0000015,M-0001,2025-01-15T00:00:00,72.554,0.344,98.843,20.472,45.7,1610,23.03,10.459,109.026,
R-0000016,M-0001,2025-01-16T00:00:00,71.722,0.347,101.757,25.814,44.21,1800,22.69,9.901,129.649,
R-0000017,M-0001,2025-01-17T00:00:00,74.936,0.4369,106.534,20.146,46.17,1392,19.21,10.605,96.625,
R-0000018,M-0001,2025-01-18T00:00:00,73.403,0.3411,98.162,18.053,40.95,1343,13.23,10.128,116.979,
R-0000019,M-0001,2025-01-19T00:00:00,71.253,0.3498,103.302,19.852,35.08,1890,17.46,9.955,82.281,
R-0000020,M-0001,2025-01-20T00:00:00,73.37,0.3683,101.004,20.728,45.13,1520,13.85,10.327,117.883,
R-0000021,M-0001,2025-01-21T00:00:00,69.347,0.4092,99.435,25.135,41.97,2280,14.17,10.599,114.565,
R-0000022,M-0001,2025-01-22T00:00:00,72.256,0.4263,103.382,20.399,45.92,1491,22.52,9.392,88.63,
R-0000023,M-0001,2025-01-23T00:00:00,74.168,0.3909,101.522,18.861,47.38,2706,21.74,9.481,104.073,
R-0000024,M-0001,2025-01-24T00:00:00,74.691,0.3581,103.541,18.281,42.31,2507,16.1,10.434,86.549,
R-0000025,M-0001,2025-01-25T00:00:00,69.414,0.4055,105.745,20.259,35.07,2112,19.55,10.536,116.224,
R-0000026,M-0001,2025-01-26T00:00:00,67.911,0.4318,101.106,22.916,45.24,2675,20.08,10.006,102.52,
R-0000027,M-0001,2025-01-27T00:00:00,72.139,0.4221,103.455,21.501,36.76,2470,22.12,10.117,90.199,
R-0000028,M-0001,2025-01-28T00:00:00,71.606,0.371,101.743,21.915,38.29,2430,23.89,10.572,92.88,
R-0000029,M-0001,2025-01-29T00:00:00,73.103,0.3517,103.68,22.702,37.99,3444,18.79,9.929,86.325,
R-0000030,M-0001,2025-01-30T00:00:00,75.465,0.3109,100.008,20.311,45.31,3277,14.03,10.289,95.803,
R-0000031,M-0001,2025-01-31T00:00:00,73.097,0.4257,98.845,18.98,38.66,3750,20.86,9.793,93.643,
R-0000032,M-0001,2025-02-01T00:00:00,70.82,0.438,101.379,19.437,45.95,2263,16.56,10.521,96.814,
R-0000033,M-0001,2025-02-02T00:00:00,71.918,0.404,106.629,21.348,37.82,2816,22.13,9.731,110.604,
R-0000034,M-0001,2025-02-03T00:00:00,71.955,0.3719,100.439,23.168,39.68,3795,15.85,10.885,106.214,
R-0000035,M-0001,2025-02-04T00:00:00,70.489,0.3381,103.645,21.376,38.99,3502,13.62,10.094,100.609,
R-0000036,M-0001,2025-02-05T00:00:00,68.77,0.4074,105.486,18.035,39.14,3395,22.17,10.43,92.848,
R-0000037,M-0001,2025-02-06T00:00:00,71.951,0.3622,102.186,18.576,43.17,2628,17.74,10.618,102.699,
R-0000038,M-0001,2025-02-07T00:00:00,74.977,0.2957,104.01,20.57,46.17,3478,12.61,9.854,117.237,
R-0000039,M-0001,2025-02-08T00:00:00,73.335,0.3363,96.771,22.075,35.41,3154,21.25,10.376,93.379,
R-0000040,M-0001,2025-02-09T00:00:00,71.521,0.36,104.379,22.629,43.46,3003,17.75,10.234,93.525,
R-0000041,M-0001,2025-02-10T00:00:00,74.51,0.3961,102.319,19.695,37.94,3960,23.34,9.836,92.386,
R-0000042,M-0001,2025-02-11T00:00:00,73.73,0.3707,99.418,20.89,45.79,3977,17.38,10.594,91.084,
R-0000043,M-0001,2025-02-12T00:00:00,73.908,0.3924,104.536,20.597,39.02,5208,13.38,10.013,115.636,
R-0000044,M-0001,2025-02-13T00:00:00,72.901,0.3965,105.384,17.287,45.72,4214,20.66,10.187,121.729,
R-0000045,M-0001,2025-02-14T00:00:00,70.674,0.4397,104.2,22.795,40.7,4576,12.35,9.886,124.11,
R-0000046,M-0001,2025-02-15T00:00:00,71.503,0.4061,105.326,22.541,42.34,5670,16.62,10.37,99.946,
R-0000047,M-0001,2025-02-16T00:00:00,70.094,0.3229,100.234,21.112,42.73,5888,18.92,9.999,91.743,
R-0000048,M-0001,2025-02-17T00:00:00,72.049,0.372,103.397,20.061,38.56,3337,16.41,9.928,125.628,
R-0000049,M-0001,2025-02-18T00:00:00,71.468,0.3874,106.552,21.811,35.86,4608,12.56,10.267,107.278,
R-0000050,M-0001,2025-02-19T00:00:00,71.885,0.3598,103.616,20.059,44.82,4851,16.08,10.122,109.474,
R-0000051,M-0001,2025-02-20T00:00:00,73.334,0.3852,102.021,20.044,42.64,4400,21.37,10.215,82.069,
R-0000052,M-0001,2025-02-21T00:00:00,72.371,0.4529,101.779,22.748,40.67,5151,13.69,10.396,122.974,
R-0000053,M-0001,2025-02-22T00:00:00,70.325,0.4156,104.976,19.201,42.76,4784,20.6,10.328,103.405,
R-0000054,M-0001,2025-02-23T00:00:00,69.65,0.3261,102.472,19.763,38.92,4823,18.25,10.154,125.104,
R-0000055,M-0001,2025-02-24T00:00:00,70.903,0.3921,99.349,19.459,37.6,6480,14.91,10.645,89.52,
R-0000056,M-0001,2025-02-25T00:00:00,74.797,0.3895,104.179,17.47,44.3,5225,14.81,10.002,128.437,
R-0000057,M-0001,2025-02-26T00:00:00,70.62,0.3797,100.145,20.05,36.82,4256,22.93,9.875,92.949,
R-0000058,M-0001,2025-02-27T00:00:00,72.839,0.3282,100.69,21.749,37.32,6897,12.75,10.434,120.45,
R-0000059,M-0001,2025-02-28T00:00:00,71.84,0.3641,102.341,21.364,38.04,4524,19.0,9.813,126.622,
R-0000060,M-0001,2025-03-01T00:00:00,71.344,0.3519,102.526,21.407,43.26,4602,14.29,9.961,107.944,
R-0000061,M-0001,2025-03-02T00:00:00,73.392,0.3442,103.436,17.711,47.71,6120,18.49,10.621,83.426,
R-0000062,M-0001,2025-03-03T00:00:00,71.679,0.3904,101.393,22.082,42.11,5246,12.54,9.872,102.632,
R-0000063,M-0001,2025-03-04T00:00:00,72.205,0.3952,102.192,18.514,46.06,4340,14.71,10.293,101.192,
R-0000064,M-0001,2025-03-05T00:00:00,71.204,0.4556,98.708,18.136,41.71,7308,17.99,10.19,102.832,
R-0000065,M-0001,2025-03-06T00:00:00,75.651,0.3544,103.715,22.577,43.25,6528,12.98,9.789,126.357,
R-0000066,M-0001,2025-03-07T00:00:00,73.862,0.4343,100.659,21.011,42.78,7215,15.38,9.893,84.305,
R-0000067,M-0001,2025-03-08T00:00:00,72.109,0.4295,95.808,18.887,45.19,6138,16.9,9.647,127.382,
R-0000068,M-0001,2025-03-09T00:00:00,71.645,0.4175,104.526,21.457,46.42,6030,16.46,9.972,80.064,
R-0000069,M-0001,2025-03-10T00:00:00,72.864,0.3656,101.201,21.361,40.47,6460,22.61,10.853,114.342,
R-0000070,M-0001,2025-03-11T00:00:00,70.627,0.4164,99.224,21.056,36.26,7107,21.72,10.141,90.932,
R-0000071,M-0001,2025-03-12T00:00:00,72.623,0.4207,102.819,20.686,45.71,8750,19.29,10.023,84.962,
R-0000072,M-0001,2025-03-13T00:00:00,69.44,0.3175,99.578,20.986,36.64,8946,17.12,10.201,96.124,
R-0000073,M-0001,2025-03-14T00:00:00,73.49,0.3647,103.455,22.557,40.29,7920,22.35,10.063,119.575,
R-0000074,M-0001,2025-03-15T00:00:00,69.805,0.4392,104.874,21.146,40.73,6570,16.61,9.881,101.939,
R-0000075,M-0001,2025-03-16T00:00:00,71.452,0.3968,101.558,20.86,44.65,8510,21.35,10.476,116.481,
R-0000076,M-0001,2025-03-17T00:00:00,72.497,0.4165,101.742,20.557,37.06,6525,21.14,10.086,98.695,
R-0000077,M-0001,2025-03-18T00:00:00,74.292,0.4006,100.63,22.501,35.15,8360,20.58,10.022,115.831,
R-0000078,M-0001,2025-03-19T00:00:00,74.501,0.4615,105.405,23.256,45.52,6237,14.43,9.493,124.886,
R-0000079,M-0001,2025-03-20T00:00:00,71.509,0.4486,101.376,23.013,42.96,7566,21.05,10.606,109.415,
R-0000080,M-0001,2025-03-21T00:00:00,70.418,0.4247,100.477,21.888,44.16,6083,20.09,10.157,105.297,
R-0000081,M-0001,2025-03-22T00:00:00,72.088,0.2942,104.417,20.365,43.41,6640,17.05,10.067,122.954,
R-0000082,M-0001,2025-03-23T00:00:00,69.457,0.4389,99.992,21.059,38.45,9072,15.8,9.589,114.142,
R-0000083,M-0001,2025-03-24T00:00:00,68.875,0.3704,105.21,22.596,44.55,5740,13.51,10.221,90.385,
R-0000084,M-0001,2025-03-25T00:00:00,74.338,0.3979,102.711,20.277,37.66,7304,15.71,9.904,85.79,
R-0000085,M-0001,2025-03-26T00:00:00,71.995,0.4064,102.947,21.086,44.39,10416,16.15,10.243,127.609,
R-0000086,M-0001,2025-03-27T00:00:00,68.695,0.4419,100.625,21.228,42.72,9010,12.17,10.208,89.25,
R-0000087,M-0001,2025-03-28T00:00:00,65.408,0.3426,99.816,18.268,46.31,9718,16.13,10.212,84.187,
R-0000088,M-0001,2025-03-29T00:00:00,69.871,0.3786,104.597,19.839,45.39,8787,22.46,10.578,118.37,
R-0000089,M-0001,2025-03-30T00:00:00,69.35,0.4184,100.623,20.168,44.21,6864,18.72,10.026,80.185,
R-0000090,M-0001,2025-03-31T00:00:00,74.523,0.3903,100.515,22.52,42.17,8010,21.08,9.803,90.356,
R-0000091,M-0001,2025-04-01T00:00:00,70.735,0.4062,104.247,19.564,44.21,7470,14.2,9.93,85.11,
R-0000092,M-0001,2025-04-02T00:00:00,71.466,0.3896,107.904,20.753,44.57,9100,12.75,9.713,118.984,
R-0000093,M-0001,2025-04-03T00:00:00,73.703,0.323,99.703,25.812,35.22,8188,18.11,9.921,92.928,
R-0000094,M-0001,2025-04-04T00:00:00,72.207,0.3742,105.289,23.068,37.93,8649,18.67,10.021,103.541,
R-0000095,M-0001,2025-04-05T00:00:00,72.514,0.3666,100.347,19.236,43.57,6674,13.25,10.631,100.223,
R-0000096,M-0001,2025-04-06T00:00:00,69.335,0.4193,99.584,23.234,47.71,8265,14.1,10.878,113.837,
R-0000097,M-0001,2025-04-07T00:00:00,72.349,0.375,99.499,18.271,47.69,11520,21.91,10.017,98.192,
R-0000098,M-0001,2025-04-08T00:00:00,71.844,0.3572,101.17,22.224,41.56,11931,18.08,10.153,103.126,
R-0000099,M-0001,2025-04-09T00:00:00,71.314,0.4403,101.157,20.172,47.66,11662,13.48,9.965,104.773,
R-0000100,M-0001,2025-04-10T00:00:00,71.895,0.3412,102.485,20.868,47.91,7821,20.58,10.564,105.366,
R-0000101,M-0001,2025-04-11T00:00:00,69.781,0.3841,101.306,21.783,43.26,8400,22.98,10.368,93.283,
R-0000102,M-0001,2025-04-12T00:00:00,70.538,0.3548,100.027,19.029,38.84,7878,18.85,10.073,81.373,
R-0000103,M-0001,2025-04-13T00:00:00,68.097,0.4272,100.813,21.357,35.47,11322,16.99,9.731,128.081,
R-0000104,M-0001,2025-04-14T00:00:00,74.521,0.3483,102.844,20.375,40.67,7622,15.87,10.14,84.729,
R-0000105,M-0001,2025-04-15T00:00:00,75.55,0.3254,101.526,21.803,41.58,7800,22.9,10.243,89.421,
R-0000106,M-0001,2025-04-16T00:00:00,70.337,0.3224,97.112,20.748,45.88,10185,20.6,9.803,109.483,
R-0000107,M-0001,2025-04-17T00:00:00,68.089,0.441,101.803,21.184,37.82,11978,20.57,10.153,123.616,
R-0000108,M-0001,2025-04-18T00:00:00,72.084,0.426,98.769,19.595,41.27,9630,13.69,10.168,83.176,
R-0000109,M-0001,2025-04-19T00:00:00,73.454,0.3711,101.305,20.56,42.06,12312,22.27,10.26,88.324,
R-0000110,M-0001,2025-04-20T00:00:00,70.639,0.3935,100.269,17.439,45.41,10028,16.63,10.018,83.25,
R-0000111,M-0001,2025-04-21T00:00:00,72.992,0.4341,103.405,21.419,36.55,8690,18.84,10.569,99.203,
R-0000112,M-0001,2025-04-22T00:00:00,73.908,0.3756,100.89,21.075,42.53,8880,20.34,10.118,95.831,
R-0000113,M-0001,2025-04-23T00:00:00,70.913,0.3918,102.559,21.899,41.53,12656,20.26,10.035,94.564,
R-0000114,M-0001,2025-04-24T00:00:00,69.276,0.4151,100.566,19.451,44.71,11526,18.39,9.885,81.154,
R-0000115,M-0001,2025-04-25T00:00:00,71.164,0.3862,105.772,18.569,39.92,9348,12.31,10.224,97.524,
R-0000116,M-0001,2025-04-26T00:00:00,72.006,0.3945,103.427,20.6,35.44,13455,16.53,10.226,85.952,
R-0000117,M-0001,2025-04-27T00:00:00,73.251,0.3945,103.634,20.78,46.0,12760,12.18,9.836,116.341,
R-0000118,M-0001,2025-04-28T00:00:00,69.804,0.4528,102.623,21.337,45.5,12870,19.66,10.091,123.185,
R-0000119,M-0001,2025-04-29T00:00:00,75.474,0.4604,96.053,20.597,43.87,9440,15.54,9.732,121.158,
R-0000120,M-0001,2025-04-30T00:00:00,73.153,0.3851,100.528,20.699,37.38,8330,14.32,10.106,117.294,
R-0000121,M-0002,2025-01-01T00:00:00,66.429,0.4078,102.323,15.205,41.55,0,20.64,10.649,109.517,
R-0000122,M-0002,2025-01-02T00:00:00,70.864,0.39,101.839,15.687,47.41,116,21.81,10.563,125.099,
R-0000123,M-0002,2025-01-03T00:00:00,67.473,0.3672,99.408,17.046,43.69,234,18.93,10.453,84.768,
R-0000124,M-0002,2025-01-04T00:00:00,67.601,0.3556,101.134,15.7,38.81,369,17.58,9.943,96.874,
R-0000125,M-0002,2025-01-05T00:00:00,69.072,0.3822,99.047,16.172,37.26,512,22.89,10.142,99.973,
R-0000126,M-0002,2025-01-06T00:00:00,66.293,0.3735,102.336,15.975,39.85,450,21.45,10.244,86.376,
R-0000127,M-0002,2025-01-07T00:00:00,66.487,0.354,100.882,18.183,36.95,606,22.38,10.326,83.297,
R-0000128,M-0002,2025-01-08T00:00:00,66.931,0.3943,98.86,18.71,36.95,567,19.6,10.331,124.337,
R-0000129,M-0002,2025-01-09T00:00:00,64.843,0.4066,99.19,14.673,47.36,616,16.52,10.035,93.293,
R-0000130,M-0002,2025-01-10T00:00:00,71.354,0.3637,100.252,17.256,43.14,927,21.44,9.902,103.013,
R-0000131,M-0002,2025-01-11T00:00:00,65.615,0.4634,104.743,15.753,43.57,1270,16.05,10.146,129.082,
R-0000132,M-0002,2025-01-12T00:00:00,64.969,0.3633,98.719,16.352,41.79,1298,14.45,10.039,86.439,
R-0000133,M-0002,2025-01-13T00:00:00,68.595,0.367,98.282,14.648,43.91,1044,19.7,9.737,126.484,
R-0000134,M-0002,2025-01-14T00:00:00,66.744,0.4395,103.518,14.324,36.34,1235,16.79,9.741,112.639,
R-0000135,M-0002,2025-01-15T00:00:00,66.539,0.3681,97.015,15.717,38.11,1148,23.2,10.514,118.431,
R-0000136,M-0002,2025-01-16T00:00:00,67.821,0.4224,99.773,17.412,36.31,1470,19.61,9.763,80.022,
R-0000137,M-0002,2025-01-17T00:00:00,69.792,0.3945,99.066,15.513,40.48,1280,21.5,9.782,103.791,
R-0000138,M-0002,2025-01-18T00:00:00,68.518,0.3796,96.95,13.478,43.31,1564,17.43,10.036,101.451,
R-0000139,M-0002,2025-01-19T00:00:00,72.856,0.4042,103.676,12.984,37.31,1980,16.62,9.554,109.559,
R-0000140,M-0002,2025-01-20T00:00:00,68.461,0.4053,101.123,14.581,42.66,1463,18.0,9.896,100.455,
R-0000141,M-0002,2025-01-21T00:00:00,65.761,0.3765,99.028,15.683,36.0,2460,22.04,9.655,99.963,
R-0000142,M-0002,2025-01-22T00:00:00,67.495,0.3644,100.693,15.862,44.1,2100,21.59,9.798,111.418,
R-0000143,M-0002,2025-01-23T00:00:00,69.395,0.4161,98.714,17.214,47.6,2486,14.64,10.033,93.692,
R-0000144,M-0002,2025-01-24T00:00:00,67.278,0.3937,98.48,16.193,35.42,2852,13.8,10.129,105.145,
R-0000145,M-0002,2025-01-25T00:00:00,68.215,0.4063,99.89,13.26,42.14,2064,22.43,9.991,114.419,
R-0000146,M-0002,2025-01-26T00:00:00,68.218,0.3484,101.74,18.05,41.83,3000,18.39,9.505,118.606,
R-0000147,M-0002,2025-01-27T00:00:00,65.725,0.4625,100.314,15.215,45.29,2574,14.18,9.857,114.081,
R-0000148,M-0002,2025-01-28T00:00:00,68.881,0.3905,102.309,14.649,43.55,3240,15.61,10.198,84.231,
R-0000149,M-0002,2025-01-29T00:00:00,68.843,0.4357,102.437,14.423,38.32,3192,19.31,10.286,98.952,
R-0000150,M-0002,2025-01-30T00:00:00,70.121,0.3971,100.864,18.348,47.64,2262,16.86,9.886,110.669,
R-0000151,M-0002,2025-01-31T00:00:00,68.366,0.3699,103.429,17.633,45.59,3030,13.73,10.121,96.777,
R-0000152,M-0002,2025-02-01T00:00:00,65.843,0.323,99.946,14.958,36.72,3255,17.48,9.909,115.435,
